gs_text34,iso3,weight,age,sex
Birth asphyxia,ZWE,0.4187016,0,0
Congenital malformation,ZWE,0.04551882,0,0
Meningitis/Sepsis,ZWE,0.04881273,0,0
Pneumonia,ZWE,0.0704969,0,0
Preterm Delivery,ZWE,0.17963111,0,0
Stillbirth,ZWE,0.23683884,0,0
Birth asphyxia,ZWE,0.36912551,0,1
Congenital malformation,ZWE,0.05396145,0,1
Meningitis/Sepsis,ZWE,0.03697949,0,1
Pneumonia,ZWE,0.08588905,0,1
Preterm Delivery,ZWE,0.20825504,0,1
Stillbirth,ZWE,0.24578946,0,1
Birth asphyxia,ZWE,0.22223643,7,0
Congenital malformation,ZWE,0.10815564,7,0
Meningitis/Sepsis,ZWE,0.17018842,7,0
Pneumonia,ZWE,0.38062829,7,0
Preterm Delivery,ZWE,0.11879122,7,0
Stillbirth,ZWE,0,7,0
Birth asphyxia,ZWE,0.17619746,7,1
Congenital malformation,ZWE,0.1168456,7,1
Meningitis/Sepsis,ZWE,0.17158633,7,1
Pneumonia,ZWE,0.40810194,7,1
Preterm Delivery,ZWE,0.12726866,7,1
Stillbirth,ZWE,0,7,1
Birth asphyxia,ZMB,0.54728563,0,0
Congenital malformation,ZMB,0.01409755,0,0
Meningitis/Sepsis,ZMB,0.0735004,0,0
Pneumonia,ZMB,0.04235003,0,0
Preterm Delivery,ZMB,0.109574,0,0
Stillbirth,ZMB,0.21319238,0,0
Birth asphyxia,ZMB,0.49938665,0,1
Congenital malformation,ZMB,0.02878288,0,1
Meningitis/Sepsis,ZMB,0.1130618,0,1
Pneumonia,ZMB,0.05076144,0,1
Preterm Delivery,ZMB,0.08348702,0,1
Stillbirth,ZMB,0.22452021,0,1
Birth asphyxia,ZMB,0.43263441,7,0
Congenital malformation,ZMB,0.03716006,7,0
Meningitis/Sepsis,ZMB,0.19555832,7,0
Pneumonia,ZMB,0.23120744,7,0
Preterm Delivery,ZMB,0.10343978,7,0
Stillbirth,ZMB,0,7,0
Birth asphyxia,ZMB,0.31900612,7,1
Congenital malformation,ZMB,0.09876974,7,1
Meningitis/Sepsis,ZMB,0.26104132,7,1
Pneumonia,ZMB,0.2565804,7,1
Preterm Delivery,ZMB,0.06460242,7,1
Stillbirth,ZMB,0,7,1
Birth asphyxia,ZAF,0.4843701,0,0
Congenital malformation,ZAF,0.04038851,0,0
Meningitis/Sepsis,ZAF,0.03761249,0,0
Pneumonia,ZAF,0.03941832,0,0
Preterm Delivery,ZAF,0.17424075,0,0
Stillbirth,ZAF,0.22396982,0,0
Birth asphyxia,ZAF,0.45879313,0,1
Congenital malformation,ZAF,0.0427217,0,1
Meningitis/Sepsis,ZAF,0.04047167,0,1
Pneumonia,ZAF,0.042134,0,1
Preterm Delivery,ZAF,0.18583486,0,1
Stillbirth,ZAF,0.23004465,0,1
Birth asphyxia,ZAF,0.35180738,7,0
Congenital malformation,ZAF,0.08540977,7,0
Meningitis/Sepsis,ZAF,0.12429746,7,0
Pneumonia,ZAF,0.23850149,7,0
Preterm Delivery,ZAF,0.19998391,7,0
Stillbirth,ZAF,0,7,0
Birth asphyxia,ZAF,0.32403503,7,1
Congenital malformation,ZAF,0.08713547,7,1
Meningitis/Sepsis,ZAF,0.11227926,7,1
Pneumonia,ZAF,0.26900341,7,1
Preterm Delivery,ZAF,0.20754683,7,1
Stillbirth,ZAF,0,7,1
Birth asphyxia,YEM,0.20264652,0,0
Congenital malformation,YEM,0.17959939,0,0
Meningitis/Sepsis,YEM,0.02363437,0,0
Pneumonia,YEM,0.09173652,0,0
