iso3,age,sex,gs_text34,full_hce0,full_hce1,short_hce0,short_hce1
AFG,0,1,AIDS,0.05128246497492881,0.040831616856351866,0.038615117476124686,0.031310280324770665
AFG,0,1,Bite of Venomous Animal,0.00019419492287405126,0.00021415439750236664,0.00015411636434654286,0.00018659751956053708
AFG,0,1,Diarrhea/Dysentery,0.07126189059479843,0.08676920630329607,0.08799403025896954,0.10235377347582923
AFG,0,1,Drowning,0.0034613461856558827,0.006454847745651807,0.01332797911519708,0.018911595974145143
AFG,0,1,Encephalitis,0.021276901672493347,0.017141680899796813,0.014692604139251466,0.01873502069788801
AFG,0,1,Falls,0.014280833869509138,0.013261059336898001,0.015188219751624947,0.01814600648340784
AFG,0,1,Fires,0.0018125370791049363,0.006324500666130383,0.0018199807973171304,0.010177817974005202
AFG,0,1,Hemorrhagic fever,0.03768997844705882,0.03146673768785554,0.04946588408064605,0.01420357991194643
AFG,0,1,Malaria,0.08353720055094514,0.11657057724428507,0.09214943544588332,0.07010259748035802
AFG,0,1,Measles,0.01777584552261936,0.009952161842391257,0.04275963138331087,0.008671541353871617
AFG,0,1,Meningitis,0.0715052551447763,0.08476588715084045,0.05903228406371444,0.08118473092680399
AFG,0,1,Other Cancers,0.035960184213612995,0.03561769491991816,0.049024662508126114,0.05520205662750177
AFG,0,1,Other Cardiovascular Diseases,0.08089524142028373,0.0724625978594385,0.06588223762205198,0.05045360179891262
AFG,0,1,Other Defined Causes of Child Deaths,0.17537178411245113,0.14974161553717488,0.1372210636789198,0.18465495972226706
AFG,0,1,Other Infectious Diseases,0.05679221441630662,0.0545853121086975,0.08173468226788466,0.0508498764500058
AFG,0,1,Pneumonia,0.17684141401129178,0.17809796371898046,0.14852533227926212,0.17039266400536013
AFG,0,1,Poisonings,0.04384773114690764,0.054118710513981684,0.0454427106540296,0.053102182186370764
AFG,0,1,Road Traffic,0.007937822092466138,0.0031805038125909285,0.00228885182888395,0.005339522002853197
AFG,0,1,Sepsis,0.045946360913759636,0.035875017314329315,0.05283300237298452,0.05378390495266743
AFG,0,1,Violent Death,0.002328798708156139,0.002568154083888812,0.001848173911471028,0.0022376901314745123
AFG,0,1,Other Digestive Diseases,0.0,0.0,0.0,0.0
AFG,0,2,AIDS,0.05128740740133316,0.04083580484373595,0.03861793857635351,0.031312927176686794
AFG,0,2,Bite of Venomous Animal,0.0003831927465338735,0.0004225822924808995,0.00030410134813470285,0.0003681996858092484
AFG,0,2,Diarrhea/Dysentery,0.07334499292777025,0.0890683103689633,0.08964863257810005,0.1043586435358401
AFG,0,2,Drowning,0.0013761968878173243,0.00415572124186142,0.011674064624388341,0.016909657882363514
AFG,0,2,Encephalitis,0.02121514375957064,0.017073075159480873,0.014643020737171416,0.018675411618771454
AFG,0,2,Falls,0.017021847403185155,0.016283706783480303,0.017363564001045908,0.02078018008518613
AFG,0,2,Fires,0.0015572428134907096,0.006043508983158925,0.001617380192054628,0.009933393022552466
AFG,0,2,Hemorrhagic fever,0.03769388714852096,0.031470296395081435,0.0494700097306371,0.014204863592791266
AFG,0,2,Malaria,0.07915970144727298,0.11174709222231087,0.08867620558693241,0.06589496131834112
AFG,0,2,Measles,0.01692817919656629,0.009016416202174906,0.042089096208730255,0.00785608311525801
AFG,0,2,Meningitis,0.06829546105223328,0.08122775049154188,0.05648391064602736,0.0781015442505081
AFG,0,2,Other Cancers,0.03592620595271237,0.035580182556928006,0.04899883312469328,0.0551714331471526
AFG,0,2,Other Cardiovascular Diseases,0.08098835534858523,0.07256426456878982,0.06595482761684482,0.0505398683206874
AFG,0,2,Other Defined Causes of Child Deaths,0.18688653343783945,0.16243690472703093,0.14635583972058214,0.19572015222352065
AFG,0,2,Other Infectious Diseases,0.057467386595133924,0.05532962068710777,0.08227266648761182,0.05149800591455731
AFG,0,2,Pneumonia,0.172783012211501,0.1736225382692523,0.14530212742429854,0.16649237523196606
AFG,0,2,Poisonings,0.04423433097943682,0.05454629087465919,0.04574965451744905,0.053474629737387064
AFG,0,2,Road Traffic,0.00642716554703456,0.001513987599095481,0.0010895053534808674,0.0038876989487658053
AFG,0,2,Sepsis,0.045933560190339805,0.03585968412464563,0.052823442405619765,0.0537724300281958
AFG,0,2,Violent Death,0.0010901969531222702,0.0012022616082201232,0.0008651791198441204,0.0010475411636590986
AFG,0,2,Other Digestive Diseases,0.0,0.0,0.0,0.0
AFG,1,1,AIDS,0.047537210390140784,0.03987076720549968,0.03724767299311032,0.029524151409051333
AFG,1,1,Bite of Venomous Animal,0.0007933082117480665,0.0009206319746565582,0.0006550408454857013,0.0007742526380336268
AFG,1,1,Diarrhea/Dysentery,0.048357252991087535,0.06407988139462517,0.07017122640027687,0.07901117783936365
AFG,1,1,Drowning,0.023124964557527092,0.029402783552297317,0.029272564844392737,0.037205503787902335
AFG,1,1,Encephalitis,0.019611001520117462,0.016607606390208817,0.01408336264354529,0.01753462422144096
AFG,1,1,Falls,0.02575039034865658,0.02746303879873934,0.02497023218140421,0.029286178389268436
AFG,1,1,Fires,0.0037420269834018537,0.008551166074514392,0.003456814669963636,0.011574304972208849
AFG,1,1,Hemorrhagic fever,0.03483847996424168,0.030606292263279388,0.0475763050131019,0.01333099031843184
AFG,1,1,Malaria,0.07453963505085723,0.11028850812711807,0.08641645708871694,0.06320220414446948
AFG,1,1,Measles,0.026213369660478648,0.02103113516211864,0.049205996174898584,0.017687210881619286
AFG,1,1,Meningitis,0.06184801026274012,0.07752567610938425,0.05326590974035012,0.07207910375818488
AFG,1,1,Other Cancers,0.03586064901112905,0.037687024881352525,0.049316418465605784,0.054389833213181235
AFG,1,1,Other Cardiovascular Diseases,0.07528406994421939,0.07107326830961896,0.06378099866083012,0.04786092121087238
AFG,1,1,Other Defined Causes of Child Deaths,0.1606178029112198,0.1439234654480772,0.1307409611172769,0.1719201829293968
AFG,1,1,Other Infectious Diseases,0.053154795008726434,0.05385973964933869,0.07915770793521232,0.048384209249976017
AFG,1,1,Pneumonia,0.12039971898210472,0.12326230237065798,0.10728449072611268,0.11794878826618095
AFG,1,1,Poisonings,0.04141966857089955,0.05367562702540954,0.04443964713125456,0.050726227996083215
AFG,1,1,Road Traffic,0.020993532548837623,0.018940654974563303,0.013476506345784149,0.018340903502349768
AFG,1,1,Sepsis,0.04246499827059379,0.034887307807368144,0.05080958280818063,0.050492976683287207
AFG,1,1,Violent Death,0.004220612630128236,0.0048980092256618955,0.003484993127217012,0.004119231862978125
AFG,1,1,Other Digestive Diseases,0.07922850218114423,0.031445113255510235,0.041187111087279585,0.0646070227257197
AFG,1,2,AIDS,0.04753046874670155,0.039862512482630896,0.03724169482835375,0.02951672004837753
AFG,1,2,Bite of Venomous Animal,0.0014376768306573536,0.0016684329380783408,0.00118709107173039,0.0014031416377821892
AFG,1,2,Diarrhea/Dysentery,0.05280687145277372,0.06924457531873005,0.07384615299019681,0.08335535899582931
AFG,1,2,Drowning,0.012441853870561216,0.017005319836145706,0.020451756501333053,0.026779683464585032
AFG,1,2,Encephalitis,0.019517784169670004,0.016499258223656013,0.014006171885477037,0.017443547922475582
AFG,1,2,Falls,0.034526386355913014,0.037647733242110425,0.032216548890944975,0.03785152874397338
AFG,1,2,Fires,0.0023266184307221484,0.006908845979432879,0.002288099127139988,0.01019326700636865
AFG,1,2,Hemorrhagic fever,0.03485937703060493,0.030630305507807886,0.0475940692555012,0.013350368526014634
AFG,1,2,Malaria,0.07353559496807098,0.109125323125945,0.08558789535095716,0.062221746601202416
AFG,1,2,Measles,0.02693413627794583,0.02186729797917044,0.04980205353882237,0.01839026046543062
AFG,1,2,Meningitis,0.05987156866934824,0.0752328846908484,0.05163361682632895,0.0701506230385752
AFG,1,2,Other Cancers,0.03499578730494697,0.036683450149514664,0.04860283959870508,0.05354662287019837
AFG,1,2,Other Cardiovascular Diseases,0.0753763424362234,0.07118011438354814,0.06385672801650773,0.04794968060357945
AFG,1,2,Other Defined Causes of Child Deaths,0.15499822537148794,0.13740097208029625,0.12609967573200034,0.1664361306028119
AFG,1,2,Other Infectious Diseases,0.0567549193946878,0.05803774610816815,0.08213137404962688,0.05189762759616706
AFG,1,2,Pneumonia,0.1298271117719187,0.13420301149592892,0.11506817294842055,0.12714960480449444
AFG,1,2,Poisonings,0.04182519507560232,0.05414693208981018,0.0447746115362135,0.05112245315127482
AFG,1,2,Road Traffic,0.013065232376860084,0.009739697713092162,0.00692980097233115,0.010602927790459163
AFG,1,2,Sepsis,0.04245896565110646,0.034879880900855524,0.05080493545386068,0.05048746854130177
AFG,1,2,Violent Death,0.002035285444430702,0.0023619614655172217,0.0016805370497636788,0.0019863947800751454
AFG,1,2,Other Digestive Diseases,0.08287459836976656,0.03567374428871272,0.04419617437578472,0.06816484280902342
AFG,5,1,AIDS,0.04746179319683591,0.039783280596679904,0.03718543359249785,0.029450614484128036
AFG,5,1,Bite of Venomous Animal,0.0016023159224528725,0.001859482007553102,0.0013230457924888214,0.0015638278137582373
AFG,5,1,Diarrhea/Dysentery,0.02791741308627687,0.040359447555008886,0.05329380751643945,0.05906219206199378
AFG,5,1,Drowning,0.02603487818964988,0.03277969963539591,0.031675285268021665,0.04004546670129234
AFG,5,1,Encephalitis,0.02018823567745995,0.017277498230193478,0.014560007605691294,0.018098000963271483
AFG,5,1,Falls,0.02637653444834833,0.028189669060527268,0.02548724717200182,0.02989726883001325
AFG,5,1,Fires,0.003170795013183933,0.00788823155972337,0.0029851445273792665,0.011016764282818454
AFG,5,1,Hemorrhagic fever,0.03485024395684784,0.030619963535112364,0.0475859775255173,0.013342553793422588
AFG,5,1,Malaria,0.06707913526338542,0.101630462115206,0.08025622105629229,0.055920951053342716
AFG,5,1,Measles,0.0190709628409446,0.012742420611159835,0.043308376313109916,0.010716399344223785
AFG,5,1,Meningitis,0.05344164410104857,0.06777004654274398,0.046324729890787314,0.06387462199675971
AFG,5,1,Other Cancers,0.04176254104407474,0.044536141597973936,0.05418961713947895,0.060149889336657915
AFG,5,1,Other Cardiovascular Diseases,0.07789563008872022,0.07410399379938495,0.06593742306296779,0.050409855524865856
AFG,5,1,Other Defined Causes of Child Deaths,0.21251943463346856,0.2041552027413494,0.17359667329910758,0.22257507878030428
AFG,5,1,Other Infectious Diseases,0.048795974852449436,0.04880134094939849,0.0755585093784778,0.044130107461356566
AFG,5,1,Pneumonia,0.0768757928007984,0.07275292572004446,0.07134645955032777,0.07547032918747898
AFG,5,1,Poisonings,0.04058737018831803,0.052709692071687686,0.043752401578037385,0.04991388616300873
AFG,5,1,Road Traffic,0.0454993750436379,0.04737960854353705,0.033711211766862974,0.042258118436180984
