gs_text34,iso3,weight,age,sex
AIDS,ZWE,0.3111596,1,0
Bite of Venomous Animal,ZWE,0.0000363,1,0
Diarrhea/Dysentery,ZWE,0.1257935,1,0
Drowning,ZWE,0.0044953,1,0
Encephalitis,ZWE,0.0005437,1,0
Falls,ZWE,0.0020969,1,0
Fires,ZWE,0.0039482,1,0
Hemorrhagic fever,ZWE,0.000076,1,0
Malaria,ZWE,0.0760892,1,0
Measles,ZWE,0,1,0
Meningitis,ZWE,0.0094533,1,0
Other Cancers,ZWE,0.0021499,1,0
Other Cardiovascular Diseases,ZWE,0.0106245,1,0
Other Defined Causes of Child Deaths,ZWE,0.2032173,1,0
Other Digestive Diseases,ZWE,0.0065808,1,0
Other Infectious Diseases,ZWE,0.0718347,1,0
Pneumonia,ZWE,0.1563655,1,0
Poisonings,ZWE,0.0146658,1,0
Road Traffic,ZWE,0.0001325,1,0
Sepsis,ZWE,0.0006945,1,0
Violent Death,ZWE,0.0000425,1,0
AIDS,ZWE,0.340977,1,1
Bite of Venomous Animal,ZWE,0.0000894,1,1
Diarrhea/Dysentery,ZWE,0.1283117,1,1
Drowning,ZWE,0.0027858,1,1
Encephalitis,ZWE,0.0004173,1,1
Falls,ZWE,0.0013682,1,1
Fires,ZWE,0.0029567,1,1
Hemorrhagic fever,ZWE,0.0000969,1,1
Malaria,ZWE,0.0475973,1,1
Measles,ZWE,0,1,1
Meningitis,ZWE,0.0072547,1,1
Other Cancers,ZWE,0.0015885,1,1
Other Cardiovascular Diseases,ZWE,0.0168442,1,1
Other Defined Causes of Child Deaths,ZWE,0.1945795,1,1
Other Digestive Diseases,ZWE,0.0081867,1,1
Other Infectious Diseases,ZWE,0.0641081,1,1
Pneumonia,ZWE,0.1679142,1,1
Poisonings,ZWE,0.0135671,1,1
Road Traffic,ZWE,0.0001095,1,1
Sepsis,ZWE,0.0012075,1,1
Violent Death,ZWE,0.0000397,1,1
AIDS,ZWE,0.5553134,10,0
Bite of Venomous Animal,ZWE,0.0000921,10,0
Diarrhea/Dysentery,ZWE,0.0102464,10,0
Drowning,ZWE,0.0089292,10,0
Encephalitis,ZWE,0.0012405,10,0
Falls,ZWE,0.003219,10,0
Fires,ZWE,0.0018491,10,0
Hemorrhagic fever,ZWE,0.0000743,10,0
Malaria,ZWE,0.1066903,10,0
Measles,ZWE,0,10,0
Meningitis,ZWE,0.0073421,10,0
Other Cancers,ZWE,0.0086091,10,0
Other Cardiovascular Diseases,ZWE,0.0472913,10,0
Other Defined Causes of Child Deaths,ZWE,0.1332658,10,0
Other Digestive Diseases,ZWE,0.0092732,10,0
Other Infectious Diseases,ZWE,0.0701544,10,0
Pneumonia,ZWE,0.0302614,10,0
Poisonings,ZWE,0.0048941,10,0
Road Traffic,ZWE,0.0003383,10,0
Sepsis,ZWE,0.0008151,10,0
Violent Death,ZWE,0.000101,10,0
AIDS,ZWE,0.5253767,10,1
Bite of Venomous Animal,ZWE,0.000053,10,1
Diarrhea/Dysentery,ZWE,0.0092977,10,1
Drowning,ZWE,0.0051362,10,1
Encephalitis,ZWE,0.0014549,10,1
Falls,ZWE,0.0021084,10,1
Fires,ZWE,0.0013992,10,1
Hemorrhagic fever,ZWE,0.0000628,10,1
Malaria,ZWE,0.122973,10,1
Measles,ZWE,0,10,1
Meningitis,ZWE,0.0086106,10,1
Other Cancers,ZWE,0.0072422,10,1
Other Cardiovascular Diseases,ZWE,0.0742455,10,1
Other Defined Causes of Child Deaths,ZWE,0.1223724,10,1
Other Digestive Diseases,ZWE,0.0085369,10,1
Other Infectious Diseases,ZWE,0.0667245,10,1
Pneumonia,ZWE,0.0384619,10,1
